,text,created,statusSource,screenName,retweetCount,isRetweet
1,RT @rssurjewala: Critical question: Was PayTM informed about #Demonetization edict by PM? It's clearly fishy and requires full disclosure &amp;…,11/23/2016 18:40,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",HASHTAGFARZIWAL,331,TRUE
2,RT @Hemant_80: Did you vote on #Demonetization on Modi survey app?,11/23/2016 18:40,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",PRAMODKAUSHIK9,66,TRUE
3,"RT @roshankar: Former FinSec, RBI Dy Governor, CBDT Chair + Harvard Professor lambaste #Demonetization.

If not for Aam Aadmi, listen to th…",11/23/2016 18:40,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",rahulja13034944,12,TRUE
4,RT @ANI_news: Gurugram (Haryana): Post office employees provide cash exchange to patients in hospitals #demonetization https://t.co/uGMxUP9…,11/23/2016 18:39,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",deeptiyvd,338,TRUE
5,RT @satishacharya: Reddy Wedding! @mail_today cartoon #demonetization #ReddyWedding https://t.co/u7gLNrq31F,11/23/2016 18:39,"<a href=""http://cpimharyana.com"" rel=""nofollow"">CPIMBadli</a>",CPIMBadli,120,TRUE
6,"@DerekScissors1: India’s #demonetization: #Blackmoney a symptom, not the disease https://t.co/HSl6Ihj0Qe via @ambazaarmag",11/23/2016 18:39,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",ambazaarmag,0,FALSE
7,RT @gauravcsawant: Rs 40 lakh looted from a bank in Kishtwar in J&amp;K. Third such incident since #demonetization. That's how terrorists have…,11/23/2016 18:38,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",bhodia1,637,TRUE
8,"RT @Joydeep_911: Calling all Nationalists to join...
Walk for #CorruptionFreeIndia and spread the benefits of #Demonetization among the mas…",11/23/2016 18:38,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",KARUNASHANKEROJ,112,TRUE
9,"RT @sumitbhati2002: Many opposition leaders are with @narendramodi on the #Demonetization 
And respect their decision,but support oppositio…",11/23/2016 18:38,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",sumitbhati2002,1,TRUE
10,National reform now destroyed even the essence of sagan. Such instances urge giving #demonetization a second though… https://t.co/eyySIREiUq,11/23/2016 18:38,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>",HelpIndia2016,0,FALSE
11,"Many opposition leaders are with @narendramodi on the #Demonetization 
And respect their decision,but support opposition just b'coz of party",11/23/2016 18:37,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",sumitbhati2002,1,FALSE
12,RT @Joydas: Question in Narendra Modi App where PM is taking feedback if people support his #DeMonetization strategy https://t.co/pYgK8Rmg7r,11/23/2016 18:37,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",MonishGavand,120,TRUE
13,@Jaggesh2 Bharat band on 28??<ed><U+00A0><U+00BD><ed><U+00B8><U+0082>Those who  are protesting #demonetization  are all different party leaders.,11/23/2016 18:37,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",yuvaraj_karki,0,FALSE
14,"RT @Atheist_Krishna: The effect of #Demonetization !!
. https://t.co/A8of7zh2f5",11/23/2016 18:36,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",PMKejri,45,TRUE
15,RT @sona2905: When I explained #Demonetization to myself and tried to put it down in my words which are not laced with any heavy technical…,11/23/2016 18:36,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",hkgupta16,50,TRUE
16,RT @Dipankar_cpiml: The Modi app on #DeMonetization proves once again that the govt is totally indifferent to the mounting misery and hards…,11/23/2016 18:35,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",aazaadparinda,45,TRUE
17,"RT @roshankar: Former FinSec, RBI Dy Governor, CBDT Chair + Harvard Professor lambaste #Demonetization.

If not for Aam Aadmi, listen to th…",11/23/2016 18:35,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",darkdestinynme,12,TRUE
18,"RT @Atheist_Krishna: BEFORE and AFTER Gandhi ji heard they are standing there against #Demonetization
. https://t.co/9NheK63TPg",11/23/2016 18:34,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",snoovemehrotra,95,TRUE
19,RT @pGurus1: #Demonetization The co-operative banking sector in Kerala is as good as a tax haven. Is Kerala a Black Money HQ? https://t.co/…,11/23/2016 18:34,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Vishwaamitra,76,TRUE
20,"RT @roshankar: Former FinSec, RBI Dy Governor, CBDT Chair + Harvard Professor lambaste #Demonetization.

If not for Aam Aadmi, listen to th…",11/23/2016 18:34,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",PoliticalCooper,12,TRUE
21,RT @Hemant_80: Did you vote on #Demonetization on Modi survey app?,11/23/2016 18:34,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",MdShuaib7,66,TRUE
22,"RT @roshankar: Former FinSec, RBI Dy Governor, CBDT Chair + Harvard Professor lambaste #Demonetization.

If not for Aam Aadmi, listen to th…",11/23/2016 18:33,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",BharatParivrtan,12,TRUE
23,"RT @Atheist_Krishna: BEFORE and AFTER Gandhi ji heard they are standing there against #Demonetization
. https://t.co/9NheK63TPg",11/23/2016 18:33,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ihavnthandle,95,TRUE
24,"RT @MahikaInfra: @narendramodi
@Swamy39
The success of #Demonetization will depend on how swiftly govt replenish the currency

Pls avoid Ba…",11/23/2016 18:33,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",GajjarBharatc,53,TRUE
